Livecam;ID;Livecam generation;Brennweite, mm;Sensorhoehe, mm;real Sensorbreite, mm;Sensorbreite, mm;Field of view (FOV) height, °;real Field of view (FOV) width, °;Field of view (FOV) width, °;Download Link;Download base;original pixel w;original pixel h;horizontal pixel tot;horizontal pixel;vertikal pixel;Winkel;Nord Grad;Nord Pixel;Nord Pixel offset;Tilt Grad;Tilt Grad offset;GPS lat, °N, WGS84;GPS, °N offset;GPS long, °E;GPS, °E offset;Altitude (camera), m;Altitude offset;delta center;cutMin;cutMax;Max pixel
19. Maennlichen Bergstation Wengen;19-MANN;3;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/877919abdb23eb59f63908ab8b300f1f/full;https://storage2.roundshot.com/5dea20fe356da5.66127651/;1;2048;10752;3072;2048;360;260;7765;0;-5;0;46.610971;0;7.942;0;2343;-100;0;0;0;0
20. Bellevue – Wengen;20-WENGBELL;2;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/e381c71b01e9896d52f13478095b80b1/full;https://storage.roundshot.com/53a0470748e768.32694332/;1;2048;10771;3072;2048;360;240;7181;0;0;0;46.608811;0;7.915971;0;1252;0;0;0;0;
21. Lauberhorn Wixi – Jungfraubahnen;21-JUNGFLAUB;4;10; 15.6 ; 23.5 ; 23.5 ; 75.9 ; 99.2 ; 99.2 ;https://backend.roundshot.com/cams/527f953c3776c0552355d4a154c2b4e8/full;https://storage2.roundshot.com/64059bf5186439.31729937/;6240;4160;9810;3072;2048;360;340;9265;0;-2;0;46.58652;0;7.94704;0;2324;0;-28;244;3875;4175
22. Jungfrau – Eigergletscher;22-JUNGFEIG;4;10; 15.6 ; 23.5 ; 23.5 ; 75.9 ; 99.2 ; 99.2 ;https://backend.roundshot.com/cams/486d6b1c471c581a99233dc3e4cc3ab7/full;https://storage2.roundshot.com/5aec2275b5dad4.34391000/;6240;4160;10092;3072;2048;360;240;6728;0;0;0;46.575372;0;7.975209;0;2300;41;0;0;0;0
23. Moenchsjochhuette – Grindelwald Tourismus;23-GRINDMJOCH;4;12; 15.6 ; 23.5 ; 23.5 ; 66.0 ; 88.8 ; 88.8 ;https://backend.roundshot.com/cams/f28a2aaab9c3a968e8fad16ae897fc48/full;https://storage2.roundshot.com/632990e5a68ba9.67225842/;6240;4160;11783;3072;2048;360;355;11619;0;0;0;46.55472;0;8.00571;0;3658;0;0;0;0;0
24. Jungfraujoch;24-JUNGFJ;;12; 15.6 ; 23.5 ; 23.5 ; 66.0 ; 88.8 ; 88.8 ;https://backend.roundshot.com/cams/584c8f65bd7b360eed6ffd43226cca8a/full ;https://storage.roundshot.com/5e568a0aaea5b0.54147912/;6240;4160;11628;3072;2048;360;60;1938;0;0;0;46.54738;0;7.98086;0;3483;0;0;0;0;
25. Jungfrau – Ostgrat;25-JUNGFOST;4;18; 15.6 ; 23.5 ; 23.5 ; 46.9 ; 66.3 ; 66.3 ;https://backend.roundshot.com/cams/dbb5da2713c66505f2004b60c6c56609/full;https://storage.roundshot.com/5bbfa31cd4b510.45617515/;6240;4160;9516;3072;2048;180;50;2643;0;-4;0;46.54541;0;7.97151;0;3697;0;-69;257;3808;4202
26. Edelweiss – Muerren;26-MUER;2;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/adab77b14a5e6558eb223ee694f4bce4/full;https://storage.roundshot.com/53a9860b3a5780.45862775/;1;2048;10771;3072;2048;360;350;10472;0;0;0;46.561437;0;7.896849;0;1650;0;0;0;0;0
27. Schilthorn – Allmendhubel;27-SCHILTALL;2;35; 29.3 ; -   ; 44.1 ; 45.4 ; -   ; 64.4 ;https://backend.roundshot.com/cams/eba943ecbd06eaa835c4e5c948741534/full;https://storage.roundshot.com/5639f2dbddec02.49212452/;1;2048;15680;3072;2048;360;58;2526;0;0;0;46.56413;0;7.887601;0;1907;25;0;0;0;0
28. Schilthorn – Birg;28-SCHILTBIR;2;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/d74cd415505930883adc771b527d161b/full ;https://storage.roundshot.com/5639f2324797c3.98380703/;1;2048;10771;3072;2048;360;0;0;0;0;0;46.56235;0;7.85823;0;2670;20;0;0;0;0
29. Harder Kulm;29-HARDKULM;4;12; 15.6 ; 23.5 ; 23.5 ; 66.0 ; 88.8 ; 88.8 ;https://backend.roundshot.com/cams/8acf8be16f88a36a1646ea3208f4fbea/full;https://storage2.roundshot.com/5ab8ba577a66e4.87843214/;6240;4160;11387;3072;2048;360;290;9173;0;-5;0;46.697314;0;7.851583;0;1321;3;-52;222;3877;4203
30. Soerenberg - Brienzer Rothorn Gipfel;30-BRROTHG;3;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/7f747e55453529b3c6e80e332b3fe630/full;https://storage.roundshot.com/58c17d5df15144.54606734/;1;2048;9552;3072;2048;270;190;6722;0;0;0;46.78724;0;8.044505;0;2295;0;0;0;0;0
31. Brienzer Rothorn;31-BRROTH;4;12; 15.6 ; 23.5 ; 23.5 ; 66.0 ; 88.8 ; 88.8 ;https://backend.roundshot.com/cams/a869f88d49fcd090c5a8e9152b68c1bf/full;https://storage2.roundshot.com/60d59dd50e5817.58412601/;6240;4160;11170;3072;2048;360;240;7447;0;-10;0;46.78761;0;8.04163;0;2266;0;-115;171;3958;4359
32. Beatus Wellness & Spa-Hotel;32-BEASPA;4;20; 15.6 ; 23.5 ; 23.5 ; 42.6 ; 60.9 ; 60.9 ;https://backend.roundshot.com/cams/0798c8309d3948c472306b53be3bc531/full;https://storage.roundshot.com/6166e782e2c750.93208089/;6240;4160;10138;3072;2048;200;180;9124;1000;5;0;46.69627;0;7.73746;0;572;0;73;402;4037;4293
